reference,doi,title,year,type,journal,authors
hal-01920419,10.1080/00207179.2018.1548773,On the use of Youla-Kucera parametrization in adaptive active noise and vibration control-A review,2020,Article,International Journal of Control,Ioan Doré Landau
hal-01362366,10.3150/18-bej1066,Uniform sampling in a structured branching population,2019,Article,Bernoulli,Aline Marguet
hal-01927373,10.1002/chem.201805017,Dynamic Molecular Metamorphism involving Palladium-Assisted Dimerization of π-Cation Radicals,2019,Article,Chemistry - A European Journal,Christophe Kahlfuss; Raymond Grüber; Elise Dumont; Guy Royal; Floris Chevallier; Eric Saint-Aman et al.
hal-01927576,10.1007/s40316-020-00135-5,"Linear independence of values of G-functions, II. Outside the disk of convergence",2020,Article,Annales mathématiques du Québec,Stéphane Fischler; Tanguy Rivoal
hal-01928475,10.4000/rsh.826,La Signature en partage. Être écrivain-traducteur aux XXe et XXIe siècles,2020,Autre,Revue des Sciences Humaines,Pascale Roux; Aline Marchand
hal-01928491,10.4000/rsh.835,La Signature en partage : introduction,2020,Article,Revue des Sciences Humaines,Pascale Roux; Aline Marchand
hal-01931717,10.15122/isbn.978-2-406-10056-0.p.0061,Le ton comme métalepse : énonciation et posture romanesques,2020,Chapitre d'ouvrage,,Julien Piat
hal-01935104,10.1111/radm.12349,Absorbing knowledge in the digital age: the key role of integration mechanisms in the context of crowdsourcing for innovation,2020,Article,R&D Management,Emilie Ruiz; Sébastien Brion; Guy Parmentier
hal-01935540,10.1259/bjr.20180365,AGuIX® from bench to bedside—Transfer of an ultrasmall theranostic gadolinium-based nanoparticle to clinical medicine,2019,Article,British Journal of Radiology,François Lux; Vu Long Tran; Eloise Thomas; Sandrine Dufort; Fabien Rossetti; Matteo Martini et al.
hal-01937941,10.1088/1751-8121/ab91d3,Single and Double Generator Bracket Formulations of Geophysical Fluids with Irreversible Processes,2020,Article,Journal of Physics A: Mathematical and Theoretical,Christopher Eldred; François Gay-Balmaz
hal-01943900,10.3917/tl.081.0145,La réalisation de l’excuse en moyen français : une recherche en pragmatique historique,2021,Article,Travaux de linguistique et de littérature,Corinne Denoyelle
hal-01945904,10.1002/pc.25142,Hyperelastic Behavior and Dynamic Mechanical Relaxation in Carbon Black-Polymer Composites,2019,Article,Polymer Composites,Fatiha Elhaouzi; Ali Nourdine; C. Brosseau; Ahmed Mdarhri; Ilham El Aboudi; Mustapha Zaghrioui
hal-01947938,10.1109/tac.2019.2918123,A direct proof of the equivalence of side conditions for strictly positive real matrix transfer functions,2020,Article,IEEE Transactions on Automatic Control,Augusto Ferrante; Alexander Lanzon; Bernard Brogliato
hal-01952226,10.1201/9781138298217-96,Linking number and Milnor invariants,2021,Chapitre d'ouvrage,,Jean-Baptiste Meilhan
hal-01953075,10.1016/j.cpc.2019.07.013,"SModelS v1.2: long-lived particles, combination of signal regions, and other novelties",2020,Article,Computer Physics Communications,Federico Ambrogi; Juhi Dutta; Jan Heisig; Sabine Kraml; Suchita Kulkarni; Ursula Laa et al.
hal-01956230,10.1007/978-3-030-29783-1_12,From collective memory ... to collective metamemory?,2020,Chapitre d'ouvrage,,Kourken Michaelian; Santiago Arango-Muñoz
hal-01956323,10.17184/eac.9782813003454,Les routines de topicalisation dans les écrits scientifiques en français,2020,Communication,,Yujing Ji; Ji Yujing; Agnès Tutin
hal-01959268,10.1080/09658211.2018.1538418,Déjà vu experiences in anxiety,2021,Article,Memory,Chris Wells; Akira O'Connor; Chris Moulin
hal-01959822,10.1137/19m1241830,On Weak Observability for Evolution Systems with Skew-Adjoint Generators,2020,Article,SIAM Journal on Mathematical Analysis,Kaïs Ammari; Faouzi Triki
hal-01934913,10.1214/20-ejs1682,Adaptive density estimation on bounded domains under mixing conditions,2020,Article,Electronic Journal of Statistics,Karine Bertin; Nicolas Klutchnikoff; José León; Clémentine Prieur
hal-01961687,10.1080/00207179.2018.1554910,H-infinity set-membership observer design for discrete-time LPV systems,2020,Article,International Journal of Control,John Jairo Martinez Molina; Nassim Loukkas; Nacim Meslem
hal-01962229,10.4171/jems/1150,Lengths spectrum of hyperelliptic components,2021,Article,Journal of the European Mathematical Society,Corentin Boissy; Erwan Lanneau
