code,acronym,title,year,amount_eur,duration_months,program,coordinator
ANR-24-INBS-0006,FLI (JVCE),cOordinated upgrades and New Equipments for ‘France Life Imaging’ infrastructure,2024,,,PIA ANR,CEA Paris
ANR-24-INBS-0001,AnaEE (JVCE),National Infrastructure,2024,,,PIA ANR,CNRS délégation Paris-Centre
ANR-24-EXSP-0009,NIFTY,Nitride ferroelectrics for ultralow-power spintronics,2024,,,PIA ANR,CNRS IDF Sud (Gif)
101209231,DAPHNE,Deciphering the formation of AmorPHous binders in ancient RomaN mortars for modErn applications,2024,226421,,Horizon Europe,
101217295,INNOCHEMBIO,Innovative Chemistry and Biotechnology for a Sustainable Future,2024,,,Horizon Europe,
101215174,JUSTSAFE,Justice-Oriented Strategies for Social Adaptive Risk Management,2024,442875,,Horizon Europe,
ANR-24-CE44-1190,POPS,"Décryptage du rôle des polyamines, métabolites clés de la virulence de P. aeruginosa et de son interaction avec S. aureus",2024,,,ANR,Université Grenoble Alpes
ANR-24-CE37-2170,FRONTOP,L'operculum préfrontal: la région critique pour l'émergence de la parole,2024,,,ANR,Institut national de la sante et de la recherche medicale
ANR-24-CE34-1261,LandMine,Plasticité/Adaptation des plantes exposées aux contaminations des activités minières passées dans les Alpes,2024,,,ANR,Laboratoire d'Écologie Alpine
ANR-24-CE31-2126,MAPSAJE,Molécules aux échelles de formation planétaire à l'ère ALMA/JWST,2024,,,ANR,Université Grenoble Alpes
ANR-24-CE23-6239,AI-PULSE,"Alignement de la protection de la vie privée, de l`utilité et de l`équité pour une IA responsable",2024,,,ANR,Centre Inria de l'Université Grenoble Alpes
ANR-24-CE11-7056,MAPEX,Analyse de l'expansion du peptidoglycane chez les bactéries à Gram positif par combinaison de la spectrométrie de masse et de la microscopie à haute résolution,2024,,,ANR,Laboratoire des biomolécules
101155977,YEAH,Youth hEAlth from a Holistic perspective,2024,2594871,,Horizon Europe,
101185712,ELEQUANT,Entangled Flying Electron Quantum Technology,2024,53346,,Horizon Europe,
101204391,FOAM 3D,Understanding 3D Foam Plasticity: An Integrated Approach,2024,242261,,Horizon Europe,
101204467,TranslingWOL,Italian Women Writing Across Languages. Translingual Literature and Female Cosmopolitan Identities,2024,413380,,Horizon Europe,
ANR-24-SS22-0033,COMMED4-UGA,Communication-Médias-Médiation UGA #4,2024,,,ANR,Université Grenoble Alpes
ANR-24-SS21-0040,COMMED3-UGA,Communication et médiation scientifiques des projets ANR,2024,,,ANR,UNIVERSITE GRENOBLE ALPES
ANR-24-CE54-4917,Archibeau,Archives numériques de la correspondance et des papiers de Beaumarchais,2024,,,ANR,Linda gil
ANR-24-CE54-3829,TACATrad,"TACATrad (Textes Authentiques Certifiés Anonymisés pour la Traduction) : activité du traducteur assermenté, recherche terminologique trilingue et cartographie des démarches à l'international",2024,,,ANR,Université Lumière Lyon 2
ANR-24-CE50-4806,DENHyMS,Forer pour comprendre la migration de l'hydrogène dans le sous-sol peu profond,2024,,,ANR,BUREAU DE RECHERCHE GEOLOGIQUE ET MINIERE
ANR-24-CE41-2183,BREATHE,"Respirer inégalement : Pollution atmosphérique, développement de l'enfant et reproduction de l'inégalité sociale : les données de la France",2024,,,ANR,Institut d'études politiques de Paris - Fondation Nationale des Sciences Politiques
ANR-24-CE26-1041,ResPro,Explorer l'impact du réseau de collègues : un nouveau levier pour l’adoption de comportements sains et pro-environnementaux,2024,,,ANR,Université Grenoble Alpes
